"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Miguel Garcia","10 months ago","Puzzles were not challenging, and it was not as action pact as the first one. The puzzles also were repetitive. The game felt like a walkthrough with a narrated story. The ending was too abrupt too, not as emotional as the first game. I feel like they put all the focus and budget on graphics and called it a day. Truly sad, I had such high expectations; for it to be at least as good as the first one, but nope...","4 people found this helpful."
"Andrew Castillo","10 months ago","Finished the game and its a masterpiece! Amazing graphics, gameplay and story telling is top notch. Do not listen to the ps fan boys. This is amazing","1 person found this helpful."
"Matt","7 months ago","Certainly better than the 1st. Really enjoyed the personal relationships in this one & less rinse and repeat secret door mechanics. Enjoyed it a lot and was pleasantly surprised","Was this review helpful to you?"
"Caspian Caspiano","6 months ago","Honestly reviewing this game is unnecessary. It has everything that the first one didn’t and it lacks a little compared to the first. But none of that is particularly important, it’s a game outside the normal realm. 
A must play for true gamers","Was this review helpful to you?"
"EasyPeasyOnlineStore Ltd","10 months ago","The graphics alone in this game make it worth playing
It will take a little bit of time to get use to the puzzles and combat
But the story is looking great, the level of detail is amazing and looks and plays like a movie
It’s a wow for that alone
Definitely play it","Was this review helpful to you?"
"Andrew Toepfer","8 months ago","Its an incredibly beautiful game. The visuals are stunning and the audio is as insane and intense as the first came but it seems less involved. There is a lot of walking along and following someone else or a path and a lot less battles. I wish there was more freedom to roam and more fighting involved.","Was this review helpful to you?"
"Wyatt Rowley","9 months ago","Beautiful graphics, and that’s it. It’s like they took everything that was great about the first Hellblade, and scrapped it. The voices aren’t helpful, the puzzles are easier, the combat is all 1v1 and has no variety, the “boss fights” are all against the environment, and the final boss is a joke. Maybe it’s unfair to compare this to the first hellblade, but I was really hoping for a game that improved on the mechanics established in the first game, this just feels like an unnecessary sequel to an already well rounded game.","1 person found this helpful."
"Payam Asadi","9 months ago","I liked it but not as much as the first Hellblade. It's shorter, nothing new in game mechanics (except for The Mirror) and the puzzles are fewer and easier! It's just long walks and lots of talk with no action. It's like the first Hellblade should be the sequel! The first one had more gameplay.","Was this review helpful to you?"
"Lewis Hammond","10 months ago","First game to showcase mental health and use photo realistic gameplay for experience.

The game length is perfect coming from someone who has experienced many Pyscosis episodes.


Visual and auditory masterpiece.","Was this review helpful to you?"
"Matt Maeson","10 months ago","Beautiful game. Short and sweet. The attention to detail is insane. Some parts drag a bit but love seeing indie studios succeed and make something incredible.","3 people found this helpful."
"Luc Beni","10 months ago","Played the first level so far. You just need to press forward and sometimes click! They should have done a youtube video out of it, it would have been the same (since you need to click on ads sometimes).
Graphics are cool though.","4 people found this helpful."
"Basilio Sande","8 months ago","This game is pure art! Just play it, worth the experience. every single thing was done to perfection. Well done to everyone involved in developing this game well done! 👏🏾","Was this review helpful to you?"
"RED WINGS FOREVER","10 months ago","Wow, they absolutely nailed it. Spent a LOT of time on the first one and this is everything and more. 100 percent!

Make the next one a bit longer though!","Was this review helpful to you?"
"Jadran Cuzela","10 months ago","It looks like you are playing a movie. Stunning. 
Gameplay is also good, not perfect, but very good. 

Worth waiting definitely.

Playing on xbox s. Top quality","3 people found this helpful."
"Jason Gilbert","7 months ago","This game is way up it's own rear. Tries way too hard, and is a constant eyeroll. It's barely even a video game and has spent way too much wasted time trying to make it into a movie also prepare to walk ALOT. Just make a movie instead if that's what your going for otherwise spend more time allowing us to actually be Senua like Kratos where it's done right.","1 person found this helpful."
"Henry Gonzales","a month ago","One of the best games I've ever played I didn't like the first one but this one god they improved so much and it's way better than the first Hellblade highly recommend playing this one if your new into hellblade I'd say start with this one too.","Was this review helpful to you?"
"Rational Utah","10 months ago","The game is fantastic. I am so burned out with open world games. This game is a masterpiece and hits the right spot. I will play it through at least a few times.","Was this review helpful to you?"
"Adi","9 months ago","This is a game for schizophrenic fvks. Thats all

If there's 5 star rating from people of any kind, and you are paying for this, trust me, those people are schizo brainded people. I will give -10 star if the option were present.

Warning before you played the game are present, traumas, psychosis, etc.
Even cyberpunk 2077 cyberpsychos are still better than this game","Was this review helpful to you?"
"Vinnie Liotta","7 months ago","Simply gorgeous graphics; is like playing a character in a movie. Sword combat is a bit frustrating and clunky. Puzzles are great fun. Would I recommend this game? Absolutely. I loved it.","Was this review helpful to you?"
"george thomas","10 months ago","The graphics are great five star, if you've got a GPU that can play the game at full specs, the sound is good to, so why only one star, the game play, there is none, you can't die, there is no multiple endings only about 9 hr of game play, the combat is boring and the puzzles are a joke. I can sum up this game in one sentence.
Graphics over gameplay and I'd rather have great gameplay. I've got the game on PC, on xbox  game pass, my system is a  RTX 3090  TI, i 7, 32 gb.","3 people found this helpful."
"last Key","10 months ago","I LOVE THE GAME I BEEN WAITING SINCE sophomore year get part 2 to this game and it was most definitely worth the wait im also graduating now best game I have blade in awhile!!! Please make a part 3🫶","Was this review helpful to you?"
"Mark Kuczewski","7 months ago","Great visuals but it forgets that’s it’s also a game that is to be played. The playable sections you’ll mainly be holding the thumb stick forward with a few combat scenarios. It’s also incredibly short which increases the frustration when the majority of the time you’re just watching cutscenes.","1 person found this helpful."
"Zack 218","9 months ago","Holy hell dude I spent an entire hour just slowly walking and hearing stupid voices. There’s absolutely NOTHING good about this game like literally NOTHING. Theres no fightin, there’s no equips or stats. All you do is walk incredibly slow for hours down a designated path and hear voices from time to time","1 person found this helpful."
"David Hujik","10 months ago","With it being 5 or 6 years in the making and taken things out of the game the first one had and it being 6 hours long. I'd say this is another Xbox fail.  Hi fi rush won awards and peoples love yet they closed down the studios. It's time to go full 3rd party Xbox it's just time.","5 people found this helpful."
"Anthony Sousa","9 months ago","Not a traditional game by any means.  Its a cinematic experience. Like you’re playing a movie.  Even if it’s something you cant finish, I think it’s something everyone can acknowledge as beautiful and unique.","Was this review helpful to you?"
"Scott Barnes","10 months ago","The game looks and sounds incredible. The problem is that this game is one you play through one time and never play again. If you own gamepass then you are good. Not worth buying at all, waste of money.","Was this review helpful to you?"
"Whats Up Broda","9 months ago","The game is absolutely amazing and focus important lessons. Let's just when I complete the game I was sad and wish it was longer. I'm buying it just to support the creators.","Was this review helpful to you?"
"Andrew L","4 months ago","Not sure how to rate this. Feel like a different game compare to the 1st one.  

In Hellblade 2, there are companions but they just follow you around and won't assist you in fight. They assist only during cutscene.

Also, there are more walking in Hellblade 2.","Was this review helpful to you?"
"Gihan Sampath","10 months ago","I have 4 more hours left to finish the game but i can tell that team xbox and ninja theory released the first ever next gen game to the console  and cc market, a true gen audio and visually combat is also good (better than first one) puzzle are also not bad, but this game demands a good pc had some performance issues that is the only con for now,

Best of luck Team Ninja and to the Team Hellblade","Was this review helpful to you?"
"Johnny Sykes","10 months ago","Gave it three because graphics are really fricking good, I think it is a well made and probably great game, shame I’m about to turn it off after almost two hours playing because I don’t think it is my kind of game though, out of the two hours playing it has been really slow, lots of story watching, irritating whispering voices saying the same thing basically over and over, idk man I may turn it back on tomorrow… maybe ll lyk.","4 people found this helpful."
"Keiran Stroud","8 months ago","Such a boring walking simulator with very little game play outside the cut scenes. All fights feel scripted and no actual skill level is needed.
Iv given up after a hour and a half of doing close to nothing. 
Pretty sure they forgot this was ment to be a game not a awful paced film.","1 person found this helpful."
"Darryl Mark","10 months ago","It plays like a full cinematic movie. The graphics are out of this world. The combat system is simple but engaging. Great game!","Was this review helpful to you?"
"Eric Aho","10 months ago","Like playing a movie, great gameplay, characters with realistic emotion great Ray tracing  and some of the best sound scape I have ever heard. Sets a new standard for graphics for games.","Was this review helpful to you?"
"Terri Ruff","7 months ago","This took me 2 days to complete , absolutely loved every second and the challenges on her journey , only downfall I don’t think the game was long enough need more chapters and more giants , cinematic experience was 100%","Was this review helpful to you?"
"michael richvalsky","10 months ago","I had trouble getting through the first game but this game is absolutely amazing. The graphics and story are insane you feel every bit of it.","Was this review helpful to you?"
"Nima Ferdosi","9 months ago","I love video games because of games like Hellblade II, the experience is pure magic!
The story is captivating, the graphics are insane and the game mechanics, puzzles and OMG the AUDIO DESIGN is spectacular!","Was this review helpful to you?"
"Sam the story man McArthur","10 months ago","I’m only 3 hours in but I’m loving it, feels like the first one but better, I’m enjoying all the story and characters but what really makes me fall in love with it is how it looks and feels, the fights feel intense and interesting and everything looks spectacular","1 person found this helpful."
"Christopher Anderson","9 months ago","10/10 experience. A must play. Not much of a game but  Definitely worth playing but if you rate it based on game mechanics it's a 6/7","Was this review helpful to you?"
"Vitaly Vraby","10 months ago","I'm about 7 hours in the game. Just done with second giant . I'm impressed, best looking game so far. 
Everything is top quality. Masterpiece 10/10.","3 people found this helpful."
"John Everimanne","9 months ago","Half the length of the original and abruptly ends long before you think it will. I'm going over the possible reasons in my head. My guess is incompetent management and higher-ups. That's always the case. I have now idea what Xbox is trying to do anymore. But I'm done supporting it.","Was this review helpful to you?"
"Jay DaBigTymer","10 months ago","This game is absolutely amazing & is easily my favorite game this gen.. The first Hellblade is in my top 5 favorite games of all time & Hellblade 2 is even better so its obviously also in my top 5 favorite games of all time 🔥🔥🔥🔥🔥","1 person found this helpful."
"Charlie Szabo","2 months ago","Wish I could give this game infinite stars I truly believe every person should have the chance to play this game as well as the prequel absolutely masterful Audio and storytelling beautiful game I really really hope they make another","Was this review helpful to you?"
"Rustin' Cohle","10 months ago","A SOLID 10/10 this is the most visually Beautiful game ive ever ever seen, the gameplay, the story, everything!!!! It's perfect, PERFECT!!! Everything!! Down to the last minute details.","Was this review helpful to you?"
"Tim Aucoin Screenwriter","10 months ago","Incredible visuals. Like nothing I've ever seen before or knew was possible on the Xbox series X. 10 out of 10 for me.","Was this review helpful to you?"
"Joe Myers","10 months ago","The story and graphics are really good but I went with 4 stars because of the fighting moves. She seems slower and less speed paced combos. You can't carry as much of a chain in her combos either.","Was this review helpful to you?"
"Nollus Deventer","10 months ago","Amazing experience!  This is not a typical 'game' but a +/- 8 hours audiovisual experience in game form... Stunning graphics and sounddesign is top notch. 10/10 for what it is!","Was this review helpful to you?"
"James Ash","10 months ago","One of the best looking games I’ve ever seen love it. I’ve recommended don’t listen to the haters. What a beautiful piece of art, wonderful journey","Was this review helpful to you?"
"sabur salh","10 months ago","It's a very good game in terms of story, in terms of combat and fighting is very real, in terms of sound there is no game like it and in terms of cinematic scenery like The Last of Us  Because this game told gamers earlier that it would be a cinematic game like the last of us part","Was this review helpful to you?"
"Mia Watkins","7 months ago","this game is so great, replayed at least twice now, 100% reccomend for any horror/thriller/adventure fans. cant wait for a third one","Was this review helpful to you?"
"Christo Spellz","10 months ago","Amazing squad based game. One of my favorite games ever. Constantly changing and evolving.  All around best game of the year.","Was this review helpful to you?"
"Gamer Guru","10 months ago","Great piece of art. No it's not a hack and slash or 200+ hour collection grind, it's not cod or Fortnite either go figure smooth brains would moan about that.","Was this review helpful to you?"
"Lee Quine","9 months ago","This is an outstanding game great gameplay, great story, visually brilliant. 
I really enjoy how the whole game feels like you are watching a film.","Was this review helpful to you?"
"Alexander Ball","10 months ago","Great game, nice slow pace compared to some recent games I played which is great for a change. Stunning visuals and sound/music.","Was this review helpful to you?"
"Darius Singleton","10 months ago","Well... the wait was well worth it. It's so smooth between the cutscenes & actual gameplay. Absolutely amazing 👏🏾 🤩","1 person found this helpful."
"Bandile Owethu","10 months ago","It's a good game, very cinematic 👌( purchased Game Pass Ultimate )  played it from start to finish for hours, it was worth it. personally rate it 9/10.","Was this review helpful to you?"
"Shivam Uttam","3 months ago","worst combat systems of all time in part 1 it was still decent but in 2 it become unbearable the evade tactics was working far better in 1 but in 2 it's a nightmare. i got annoyed by it's weak combat system in 30 mins of playing most time it feels it's a video were we are just suppose to watch not play.","Was this review helpful to you?"
"Larissa Lopes","6 months ago","Best video game i have ever played. Story telling 10/10. Acting 10/10. Voice acting 10/10. Music 10/10. Symbolic messaging 10/10. Graphics 10/10. I love how AURORA sings when the credits roll. It really perfected it.","Was this review helpful to you?"
"Craig Geren","9 months ago","Super impressed! visually the game is astounding. The audio is superb. It’s not a short game, but not long in the tooth either.","Was this review helpful to you?"
"Edwin Rodríguez","8 months ago","I am pretty sure this will be my game of the year. Played it 3 times back to back. What am amazing story about the frailty of human nature.","Was this review helpful to you?"
"Austin Geary","9 months ago","Amazing story driven experience. Visually and audibly immersive. Possibly the best graphics I've seen in a video game.","Was this review helpful to you?"
"Justin Medil","8 months ago","The best looking game this Gen for me, kudos to Ninja theory and Xbox game studios, finished this hame on GeforceNOW using PC gamepass, a must play game, 8/10 overall for me.","Was this review helpful to you?"
"Sergio Perez","9 months ago","This game is amazing. Great gameplay and stunning graphics. Feels like I'm playing a movie if that makes sense.","Was this review helpful to you?"
"Adam Goncalo (Adam G)","9 months ago","Amazing game. Definitely trumps the first imo. Fighting controls could be a bit better but amazing visuals on the Series X.","Was this review helpful to you?"
"Frank Perna","9 months ago","Game is trash 0 stars it's just three cut scenes and then a cave with a door then it's over I speed ran this would've been quicker if I could skip the cut scenes with mostly awesome artwork that was the only thing good and the voices dont make you feel crazy it whatever they're just annoying","Was this review helpful to you?"
"Syed Faizan Haider","10 months ago","After a very long time, I fell in love with a game. 
one of the best story telling, visuals, audio and environment.","Was this review helpful to you?"
"Jeremiah Jones","9 months ago","Super fun and the graphics are amazing. I have an OLED TV and Dolby Atmos 11.1 surround, it makes it almost too real to be a game!","Was this review helpful to you?"
"Spirituality Transcendent","10 months ago","Amazing game. Appreciate the hard work that went into this game. Looks great on a ultrawide monitor.","Was this review helpful to you?"
"oscarronie ._.","10 months ago","My game of the year so far loved the first one so much so this was the only reason I bought a new Xbox for this game alone congratulations Xbox and Ninja theory for the first must buy on your console ever !!!","Was this review helpful to you?"
"Kelsey Smith","10 months ago","This game was worth the wait. The love and care the devs put into it is palpable; 50$ well spent.","Was this review helpful to you?"
"Ben Cooper","4 months ago","Visually stunning,games dont get better looking than this...sound and storytelling absolutely brilliant .hope they keep the franchise going for a long time","Was this review helpful to you?"
"Carlos lopez lozano","10 months ago","A truly masterpiece!!! All the details in the environment, the narrative,  the combat... I just can't believe how good this is - AMAZING","Was this review helpful to you?"
"David A. Martínez R.","8 months ago","Very immersive. Not compared with the first one but also it’s an exceptional development of the story and characters","Was this review helpful to you?"
"Pasha Tanya","10 months ago","It's insane how beautiful it is and the story telling as well. I love the combat and everything about it","Was this review helpful to you?"
"Alex Ch","4 months ago","Boring combat just like the first one
Poorly optimazed 
The story was mid, it could have been much better
Each NPC just useless
I only finished the game just to say that i did
Its worth 20$ at best no more.","Was this review helpful to you?"
"Glen Pankhurst","10 months ago","Absolutely stunning with a seriously captivating story and excellent game play.

My only wish is that it would take longer to finish the game.","Was this review helpful to you?"
"Joey","10 months ago","Great continuation of the first game, it's not trying to reinvent the wheel and that isn't necessary, if you enjoyed the first one, you'll love this one","1 person found this helpful."
"PandasFTW 221","10 months ago","No game needs this uninteresting of an opening you spend far too long wounded stumbling around watching stuff happen. Calling it a slow start is an overstatement a snail would be faster than how this game opens","6 people found this helpful."
"Andrew Cobb","10 months ago","Great story seems like more of a movie just be prepared for that.  I'm currently only about an hour in I hears it's about 8 hours long thats why it's only 50 dollars atm.","Was this review helpful to you?"
"Jace Padden","10 months ago","Pretty good story game. I've seen a lot of people clowning on it for no reason other that it not being a fast paced shooter type game.","Was this review helpful to you?"
"Hisham Shafiq","10 months ago","the game was astonishing and the graphics were very realistic. voices were scary and enjoyable. the game is getting better and better","1 person found this helpful."
"Carl Eddershaw","10 months ago","Looks amazing great story and Plays great.GOTY so far. Another great exclusive after Starfield, Forza Motorsport 8","1 person found this helpful."
"Ömer AK","9 months ago","Dude. 
I can also write like Cinematic bla bla. 
But no.

I just say finally a game worth buying 4090....","Was this review helpful to you?"
"Trenton Menethil","10 months ago","Really enjoyed the first one and was excited for the 2nd, it did not disappoint. Love the story, graphics, visuals and sound design.","Was this review helpful to you?"
"Evan Phipps","10 months ago","Bloody good game .  Masterpiece if I say.  I think Xbox saved themselves for now.  Highly recommend 😀","Was this review helpful to you?"
"Kyle Aguirre","9 months ago","Game play is simple but that's okay, this one has more story then the first and the visuals are beyond amazing","Was this review helpful to you?"
"Jason Miksell","10 months ago","Combat is good. Graphics show what the latest unreal engine 5 is capable of doing. Very story focus which is good.","1 person found this helpful."
"Muteb Jamal","9 months ago","Audio quality top notch! Graphics is nice, but blurry which is bit irritating, the bigger question is ""where is the game""?, Basically a walking simulation!! 3 stars for the audio quality.","Was this review helpful to you?"
"Blessing Sadziwa","3 months ago","Loved it despite the game being short. The combat mechanics is more improved and as always stellar sound and visuals.","Was this review helpful to you?"
"Pravin Yadav","10 months ago","This game was awesome and great sound quality I LOVE IT I would like there to be a third part too.","Was this review helpful to you?"
"Jonas Muste","10 months ago","Fantastic game, with mindblowing visuals and incredible audio and story telling. Can’t wait for hellblade 3.","Was this review helpful to you?"
"Real Onyx","9 months ago","Too short for a 70 dollar game. The Last of us part 2 was longer and graphically beautiful, just like this game it's beautiful but only 3 hrs of gameplay.","Was this review helpful to you?"
"ramin pro","9 months ago","world no1 ga.e in  real detail graphic and movments !!! it must win year best game","Was this review helpful to you?"
"Shane Holly","10 months ago","This game is a cinematic masterpiece and changes the genre. You feel as though you are watching a movie.","Was this review helpful to you?"
"King Web","10 months ago","Visuals and audio are masterful I enjoyed every bit of it!!!!!!!! Scenery is MASTERCLASS period definitely set the bar high!!!!!!!!!","Was this review helpful to you?"
"Cristian Gomez","10 months ago","The game is truly incredible and was well worth the wait can't wait to continue playing  the graphics are insane.","Was this review helpful to you?"
"James Burner","9 months ago","Beautiful gameplay.  Very slow at times and confusing story.  But beautifully made.","Was this review helpful to you?"
"Anna Autos","10 months ago","Great game 5/5 insane graphics good story better than the last of us or that weird Kojima game death stranding","Was this review helpful to you?"
"Joshua Shortt","4 months ago","A beautiful and haunting work of art depicting the struggles of mental illness. Fantastic Game!","Was this review helpful to you?"
"Gregor Scot Sharpe","9 months ago","I was not a huge fan of this game. I felt it was too short and boring most of the game is spent walking slowly from a to b, I don't recommend","1 person found this helpful."
"Jose Homs","9 months ago","5 out of a 5 for sure. And if you disagree then you must be a weirdo ya feel me!","Was this review helpful to you?"
"Mike Anderson","10 months ago","So boring. Literally all I've done for an hour is walk around and fight 3 people who look identical.  Nicht so gut","4 people found this helpful."
"Derrick Gonzales","10 months ago","The combat is next level probably the best I seen in a video game
Cons I don't like how my screen is always in cinematic view but overall a good game","Was this review helpful to you?"
"Vladimir P","7 months ago","Woman with a heavy form of schizophrenia travelling through Iceland thinking she is fighting giants. Generally a good game, but as an actual schizophrenia, sometimes it is not very pleasant.","Was this review helpful to you?"
"Waqas Askari","8 months ago","Games was amazing story was just unbelievable & length ofcthe game was short over all it was fun with senuas new adventure","Was this review helpful to you?"
"your blah","10 months ago","Game looks good
But having a quarter of the screen taken up by a black bar at both the top and the bottom of screen ruins any kind imersion that this game was going for","13 people found this helpful."
"George Prah","9 months ago","Can't stop playing Hellblade 2, nice story, nice graphics and above I love the action scenes in the game.","Was this review helpful to you?"
"Richard Delahaye","10 months ago","Shockingly bad. Do they test any of these games. Deleted after 30 minutes. Spent 10 minutes following a guy through a field. Utterly boring.","Was this review helpful to you?"
"Tawhid Bhuiyan","9 months ago","Very well made, unreal engine 5 shines I this game, story telling is very compelling and powerful.","Was this review helpful to you?"
"Thato Tshukudu","10 months ago","This a very good video game, graphics, story and combat, everything works perfectly, I just couldn't get my eyes of my monitor 🤯🤯🔥🔥🔥🔥","Was this review helpful to you?"
"Kieran Mcelhill","9 months ago","This game is a really boring/ very pretty walking simulator/ tech demo. The Gameplay itself is simply not fun. Game developers are killing gaming.","Was this review helpful to you?"
"ssonko ivan","8 months ago","Hellblade 1 was better, this one had so many video scenes i was fedup, the action was little, i didn't enjoy it, they spent alot of time making video scenes than the actual game itself","1 person found this helpful."
"Abdallah Kussad","9 months ago","What an epic, amazing, immersive experience.. I loved every single about this game..","Was this review helpful to you?"
"Mike Shadez","10 months ago","It's a masterpiece the best looking game you can play with a good will done ninja theory.","Was this review helpful to you?"
"hano","2 months ago","Best looking game and so immersive.
It's just amazing and fun","Was this review helpful to you?"
"Tevon tadpole","10 months ago","Banger for free too definitely excited to see how they'll end it with a third game","Was this review helpful to you?"
"Natsu Dragon","10 months ago","Amazing game but waiting for 6 years only 5 to 6 hours gameplay only but most of it cutscene but the graphics was marvelous one of the best looking game ever on Xbox but still disappointed with the game length","10 people found this helpful."
"David Luellen","8 months ago","Although the graphics are still amazing, the gameplay is worse! It's more like a scripted guided movie. Only a few fights and puzzles, and that's it.","Was this review helpful to you?"
"Microbius Blue","10 months ago","A Masterpiece ❤️ Thank you Ninja Theory, Xbox and of course Melina for bringing Senua to life","2 people found this helpful."
"Brian Russell","10 months ago","Amazing game... A leap forward in the right direction for this franchise!!!","Was this review helpful to you?"
"Jacques-Pierre Oosthuizen","8 months ago","A Immense,Grafifying,Dark,emotional and Immersive Rake told by the ubdystries best.Thus is a Master's Class of a Game.","Was this review helpful to you?"
"Ernie Dow","10 months ago","Game looks great but does not deliver in the most important way.  Gameplay is very linear and the fights are too simple and underwhelming.","3 people found this helpful."
"Simeon Odendaal","10 months ago","Played the intro and damn 10/10 already, Intense,very intense

Wow! That's all I can say","2 people found this helpful."
"Nick T","10 months ago","This game was a whole new experience.Amazing graphics and audio nothing like I played before","Was this review helpful to you?"
"Joseph Brothers","10 months ago","So boring, it’s a walking simulator with constant crazy voices in your head, but none as loud as the one in my head saying ‘this game is terrible’","16 people found this helpful."
"NEON BLUE","10 months ago","Hellblade 2, looks pretty but it's soooo boring it's a puzzle walking simulater,, it takes 5 hours to complete,, this will be the death of xbox, massive disappointment","8 people found this helpful."
"Xavier Abreu","9 months ago","just make a movie next time, this game makes you fight one on ones repeatedly for 20 minutes each as ""gameplay"". story was aight, just make a movie.","Was this review helpful to you?"
"Washington Neves","a month ago","Great game 
A mix of tomb raider and god of war with great graphics and nice playability","Was this review helpful to you?"
"Corey Craig","10 months ago","They delivered.. great improvement from the first 

This game actually shows the capabilities of this generation of consoles","Was this review helpful to you?"
"Colm Grimes","3 months ago","Phenomenal storytelling experience. Loved every second of it.","Was this review helpful to you?"
"Zane Brattan","10 months ago","You’ll get motion sickness playing on console at 30fps, all that cinematic masterpiece turned to a sludgey mess as soon as you move around","Was this review helpful to you?"
"billy chapman","4 months ago","Hellblade set the bar of what gaming experiences should be about. Stunning graphics and gameplay","Was this review helpful to you?"
"Aaron Patton","9 months ago","Really love this game been waiting so long they did not disappoint on this one","Was this review helpful to you?"
"Jacob NV","10 months ago","Mid, the story is ok nothing great, the combat is really bad and clunky. I'll delete it as soon as I'm done with the main story.","1 person found this helpful."
"Brian Drew","10 months ago","So far I love it, must play with headphones to get the full effect","1 person found this helpful."
"tychodragon sterling","10 months ago","50$ for a 4 hour game is awful, should not be the standard for gaming having boring  games that have zero substance","7 people found this helpful."
"Rob McCaslin","3 months ago","This is one of the best narrative experiences I have had the pleasure to complete.","Was this review helpful to you?"
"hamza music","10 months ago","work of art you don't play game you see a moive  with perfect narrative perfect story","Was this review helpful to you?"
"Joh Mu","9 months ago","Top tier experience and plot. 100% worth!","Was this review helpful to you?"
"smw freak","10 months ago","The graphics on this game is insane and i love the fighting mechanics","Was this review helpful to you?"
"Terry Winkler","10 months ago","Adding after reading the GameSpot review. You sir should have no business reviewing games past present or future","Was this review helpful to you?"
"Yacine","5 months ago","I get goosebumps playing this! Simply an outstanding game","Was this review helpful to you?"
"Alex Maimouni","10 months ago","I love this game it is not better than the first one but it is worth playing.","Was this review helpful to you?"
"IMBAKU DUBZ","9 months ago","This game is in another level of good it feels like a movie","Was this review helpful to you?"
"loneoakgrls","7 months ago","wow. all i have to say is....wow. this game changed me.","Was this review helpful to you?"
"DANNY Adel","10 months ago","Amazing game graphics sounds story everything thank you ninja theroy and xbox impossible","Was this review helpful to you?"
"Giovanni Guidolin","10 months ago","best looking game ever! thanks xbox gamepass and ninja theory","5 people found this helpful."
"Jess Hamilton","10 months ago","Amazing game. Epic, beautiful, action packed.","Was this review helpful to you?"
"Jay B","9 months ago","Better than the First Game but a very short game, took me 6 hours to complete and i took my time too lol","Was this review helpful to you?"
"Daniel Bowen","2 months ago","That whiny mess at the beginning of the review made me not read the rest.  Good lord get over yourself.","Was this review helpful to you?"
"Blue Horse Studios","10 months ago","I kept waiting waiting for this to get better then it ended taking my $50 with it. Very disappointing","2 people found this helpful."
"Hannah Pinder","a week ago","Loved everything about it, from the gameplay to storyline would definitely recommend.","Was this review helpful to you?"
"Timothy Mukansi","10 months ago","This is a walking simulator. Graphics are great but gameplay is basically nonexistent. Don't waste your money.","2 people found this helpful."
"Loitersquad E","10 months ago","Everyone is gonna have their personal opinion!! This is my personal opinion. Do with it as you wish. I am playing on pc.","1 person found this helpful."
"David Mackie","10 months ago","Really enjoyed the first one and this is better in every way","1 person found this helpful."
"sonic knuckles knuckles","10 months ago","Best Game Best Sound Great Story Excellent Realistic Graphics 'I Love This Game","Was this review helpful to you?"
